"user_id","client_Model","client_OS","client_City","client_StateOrProvince","client_CountryOrRegion","client_Browser"
"MT_1517516969954","Samsung SM-G920P","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 64.0"
"MT_1517515360701","Nexus 5X","Android 8.1",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1517514594176","Samsung SGH-I537","Android 5.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 61.0"
"MT_1517513615804","Samsung SM-G920V","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 60.0"
"MT_1517512702277",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile iOS 64.0"
"MT_1517510809592","Alcatel 7046T","Android 5.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1517511612326",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 11.0"
"MT_1517509568548","Asus X008DC","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 64.0"
"MT_1517509912885",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile iOS 63.0"
"MT_1517510635508",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile iOS 64.0"
"MT_1517510598672",LGMS210,"Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1517509284561","Samsung SM-J320P","Android 5.1",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1517509007045","Samsung SM-S327VL","Android 6.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1517509054231","Samsung SM-G891A","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 64.0"
"MT_1517508127621",XT1031,"Android 5.1",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1517508355714",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 11.0"
"MT_1517508172342",LGLS676,"Android 6.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 53.0"
"MT_1517506956057",iPhone,"iOS 10.3",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 10.0"
"MT_1517508193487",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile iOS 64.0"
"MT_1517507752809","Nexus 5X","Android 8.1",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1517507357907",iPhone,"iOS 11.2",ANONYMIZED,ANONYMIZED,"United States","Mobile Safari 11.0"
"MT_1517506978892","Samsung SM-G891A","Android 7.0",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1517506877612","Samsung SM-J320P","Android 5.1",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
"MT_1517506894981",Pixel,"Android 8.1",ANONYMIZED,ANONYMIZED,"United States","Chrome Mobile 63.0"
